time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-22 00:00:00+00:00,17,8,3,2
2026-08-23 00:00:00+00:00,223,7,0,0
2026-08-24 00:00:00+00:00,625,13,0,0
2026-08-25 00:00:00+00:00,262,12,1,1
2026-08-26 00:00:00+00:00,288,11,3,1
2026-08-27 00:00:00+00:00,508,18,0,0
2026-08-28 00:00:00+00:00,98,8,1,1
2026-08-29 00:00:00+00:00,5,4,0,0
2026-08-30 00:00:00+00:00,10,9,1,1
2026-08-31 00:00:00+00:00,23,15,1,1
2026-09-01 00:00:00+00:00,11,6,5,1
2026-09-02 00:00:00+00:00,5,4,0,0
2026-09-03 00:00:00+00:00,135,11,5,1
2026-09-04 00:00:00+00:00,28,14,0,0
