time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-29 00:00:00+00:00,5,4,0,0
2026-08-30 00:00:00+00:00,10,9,1,1
2026-08-31 00:00:00+00:00,23,15,1,1
2026-09-01 00:00:00+00:00,11,6,5,1
2026-09-02 00:00:00+00:00,5,4,0,0
2026-09-03 00:00:00+00:00,135,11,5,1
2026-09-04 00:00:00+00:00,28,14,0,0
2026-09-05 00:00:00+00:00,552,55,0,0
2026-09-06 00:00:00+00:00,897,81,2,1
2026-09-07 00:00:00+00:00,302,40,14,3
2026-09-08 00:00:00+00:00,250,17,10,2
2026-09-09 00:00:00+00:00,22,13,2,1
2026-09-10 00:00:00+00:00,12,8,0,0
2026-09-11 00:00:00+00:00,101,15,0,0
