time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-12 00:00:00+00:00,18,8,0,0
2026-08-13 00:00:00+00:00,30,11,0,0
2026-08-14 00:00:00+00:00,9,4,1,1
2026-08-15 00:00:00+00:00,13,7,1,1
2026-08-16 00:00:00+00:00,7,5,3,1
2026-08-17 00:00:00+00:00,10,2,1,1
2026-08-18 00:00:00+00:00,3,2,12,2
2026-08-19 00:00:00+00:00,3,2,7,3
2026-08-20 00:00:00+00:00,3,2,2,1
2026-08-21 00:00:00+00:00,20,7,0,0
2026-08-22 00:00:00+00:00,17,8,3,2
2026-08-23 00:00:00+00:00,223,7,0,0
2026-08-24 00:00:00+00:00,625,13,0,0
2026-08-25 00:00:00+00:00,262,12,1,1
