referrer,views_total,views_unique
bambuddy.cool,1826,931
Google,1680,770
hackaday.com,1418,958
github.com,1031,279
wiki.bambuddy.cool,396,158
china-gadgets.de,337,248
DuckDuckGo,208,114
Bing,193,77
youtube.com,161,90
itsfoss.com,109,71
