url_path,views_total,views_unique
/maziggy/bambuddy,4252,2402
/maziggy/bambuddy/issues,1107,301
/maziggy/bambuddy/releases,433,250
/maziggy/bambuddy/releases/tag/v0.2.4.8,232,177
/maziggy/bambuddy/pulls,198,99
/maziggy/bambuddy/releases/tag/v0.2.4.7,143,111
/maziggy/bambuddy/blob/main/docker-compose.yml,115,79
/maziggy/bambuddy/blob/main/slicer-api/README.md,104,71
/maziggy/bambuddy/blob/main/docs/images/proxy-mode-diagram.png,99,90
/maziggy/bambuddy/tree/main,87,61
