referrer,views_total,views_unique
bambuddy.cool,1722,907
Google,1552,709
hackaday.com,1468,975
github.com,952,283
china-gadgets.de,486,349
wiki.bambuddy.cool,402,152
DuckDuckGo,206,117
Bing,203,90
youtube.com,151,90
blog.adafruit.com,66,40
