referrer,views_total,views_unique
bambuddy.cool,1835,932
Google,1691,749
hackaday.com,1302,907
github.com,1194,300
wiki.bambuddy.cool,449,175
DuckDuckGo,210,110
Bing,201,75
youtube.com,148,83
itsfoss.com,123,84
search.brave.com,85,40
