referrer,views_total,views_unique
bambuddy.cool,2045,887
Google,1735,717
github.com,1334,349
wiki.bambuddy.cool,443,153
DuckDuckGo,156,95
search.brave.com,153,80
youtube.com,143,87
forum.bambuddy.cool,94,11
Bing,67,42
comments.jeffgeerling.com,50,39
