referrer,views_total,views_unique
bambuddy.cool,1369,702
Google,1312,595
github.com,999,250
china-gadgets.de,508,355
wiki.bambuddy.cool,349,131
hackaday.com,342,185
Bing,151,65
DuckDuckGo,139,79
youtube.com,74,49
blog.adafruit.com,67,41
