referrer,views_total,views_unique
bambuddy.cool,1857,931
Google,1720,764
hackaday.com,1375,939
github.com,1129,281
wiki.bambuddy.cool,424,169
china-gadgets.de,264,207
DuckDuckGo,222,116
Bing,197,77
youtube.com,163,89
itsfoss.com,127,85
